Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2009-06-16,GoldCoast,11.2,22.3,0.0,,,SE,35.0,WNW,SE,7.0,22.0,71.0,46.0,1017.0,1015.7,,,16.8,20.2,No
2011-09-30,Walpole,8.6,18.4,0.2,,,ESE,33.0,ENE,ESE,13.0,20.0,77.0,67.0,1020.5,1017.4,,,14.0,16.7,No
2012-10-07,Cobar,7.3,21.7,0.0,13.8,,S,43.0,S,SSE,17.0,17.0,55.0,15.0,1018.5,1015.8,0.0,0.0,11.0,20.1,No
2013-10-26,Cairns,21.9,32.0,0.0,8.2,11.6,SE,41.0,SE,SE,19.0,31.0,57.0,40.0,1017.7,1015.1,3.0,1.0,28.3,30.2,No
2012-04-24,Nuriootpa,1.6,16.0,5.0,3.0,7.5,WSW,43.0,W,WSW,11.0,19.0,75.0,55.0,1021.7,1021.4,5.0,7.0,10.6,14.5,Yes
2013-07-15,Walpole,15.2,17.7,4.4,,,NW,57.0,NW,NW,17.0,19.0,91.0,89.0,1011.7,1008.3,,,15.1,16.7,Yes
2017-06-09,Cobar,2.7,15.3,0.0,,,SSW,30.0,S,SSW,9.0,19.0,83.0,43.0,1029.2,1027.1,,,7.1,14.4,No
2012-05-18,Cairns,20.8,27.9,2.4,6.4,3.8,S,50.0,SSE,S,17.0,19.0,85.0,85.0,1016.5,1014.7,7.0,8.0,22.0,22.9,Yes
2010-11-23,Nuriootpa,19.5,32.9,0.0,10.4,12.3,,,NNE,NNE,24.0,15.0,35.0,18.0,1016.4,1014.2,1.0,2.0,26.1,31.8,No
2014-08-04,Cairns,19.6,25.6,1.4,3.0,2.3,SE,39.0,S,SSE,15.0,24.0,82.0,78.0,1020.6,1018.2,5.0,8.0,22.3,23.0,Yes
2014-10-19,CoffsHarbour,11.8,22.8,0.4,,,,,,,,,59.0,59.0,,,,,20.5,22.3,No
2014-02-17,GoldCoast,24.5,30.2,0.0,,,SSE,54.0,SE,SE,19.0,44.0,70.0,66.0,1009.9,1009.4,,,27.5,27.8,No
2011-05-01,Dartmoor,13.2,17.6,11.2,0.4,5.6,SSW,19.0,,SSW,0.0,15.0,99.0,80.0,1019.3,1017.9,,,13.8,15.9,Yes
2010-03-17,PerthAirport,12.8,29.3,0.0,8.8,11.1,E,48.0,ENE,NNE,30.0,7.0,38.0,23.0,1022.9,1018.3,0.0,1.0,20.2,28.6,No
2014-06-15,Uluru,4.6,17.3,0.0,,,SSE,35.0,SE,SSE,15.0,17.0,51.0,34.0,1027.6,1024.6,,,11.0,16.5,No
2009-10-21,Cobar,15.4,36.0,0.0,9.6,12.3,NW,33.0,NE,NNW,11.0,17.0,12.0,7.0,1020.1,1017.4,1.0,6.0,27.2,34.5,No
2009-10-10,Dartmoor,5.6,18.5,0.0,3.0,11.8,E,43.0,E,SE,26.0,15.0,72.0,51.0,1029.3,1025.1,,,10.0,17.2,No
2016-04-15,Dartmoor,4.8,23.9,0.0,1.2,,NW,30.0,ENE,SSW,2.0,13.0,98.0,56.0,1022.4,1019.5,,,10.3,21.5,No
2013-04-16,GoldCoast,19.2,29.0,0.0,,,NNW,65.0,NNW,NNE,15.0,28.0,65.0,76.0,1012.5,1010.1,,,24.6,24.4,No
2013-01-02,Cobar,21.4,37.7,0.0,15.2,,SW,48.0,SE,SSW,15.0,13.0,13.0,7.0,1012.2,1009.7,1.0,3.0,29.4,36.0,No
2015-06-15,Cairns,21.4,27.0,6.8,2.0,5.8,ESE,56.0,SSE,SE,15.0,24.0,85.0,68.0,1016.8,1014.3,7.0,5.0,24.2,26.6,Yes
2010-05-15,CoffsHarbour,6.5,22.0,0.0,2.6,9.8,S,35.0,WSW,S,13.0,19.0,61.0,35.0,1016.2,1014.3,0.0,1.0,17.1,21.6,No
2009-07-08,Cobar,5.3,16.6,0.0,2.0,9.6,NE,31.0,E,ENE,13.0,11.0,74.0,50.0,1025.1,1023.2,3.0,3.0,9.5,16.3,No
2011-05-25,Cobar,6.1,10.8,6.6,,,SW,30.0,SW,SW,17.0,17.0,93.0,79.0,1016.8,1016.2,7.0,7.0,6.6,9.5,Yes
2013-04-29,Nuriootpa,12.1,14.3,13.6,3.0,0.3,NE,28.0,E,ENE,7.0,9.0,96.0,92.0,1025.1,1024.7,8.0,8.0,12.9,14.1,Yes
2010-08-11,GoldCoast,16.8,18.7,56.2,,,NNE,52.0,NW,WNW,20.0,26.0,91.0,45.0,1013.5,1010.0,,,17.0,17.3,Yes
2011-07-03,CoffsHarbour,10.3,21.1,1.6,2.0,6.8,NE,30.0,SW,NE,9.0,19.0,91.0,63.0,1023.5,1020.3,6.0,2.0,13.9,19.0,Yes
2014-08-18,Uluru,0.6,19.9,0.0,,,ENE,30.0,ESE,ENE,11.0,15.0,46.0,20.0,1025.5,1021.2,,,9.7,18.5,No
2016-09-12,AliceSprings,14.0,30.0,0.0,38.4,,N,43.0,E,NNE,9.0,20.0,31.0,18.0,1017.3,1012.2,8.0,8.0,18.7,27.1,No
2012-09-11,AliceSprings,3.6,29.6,0.0,6.8,11.5,E,30.0,,SSW,0.0,9.0,18.0,6.0,1022.2,1017.2,0.0,0.0,18.7,28.6,No
2012-09-13,Dartmoor,4.4,13.8,4.0,1.6,9.7,WSW,41.0,WSW,SW,11.0,22.0,91.0,60.0,1017.4,1018.2,,,8.2,12.8,Yes
2012-09-17,PerthAirport,15.7,26.0,0.0,8.0,10.7,E,69.0,NNE,NW,22.0,33.0,35.0,59.0,1008.8,1007.1,1.0,1.0,22.0,22.9,No
2010-10-13,Walpole,6.6,18.4,0.0,,,SSW,50.0,NW,WSW,15.0,26.0,75.0,67.0,1018.4,1015.5,,,14.4,16.8,No
2013-09-07,Uluru,13.4,32.9,0.0,,,NE,35.0,ESE,NE,7.0,20.0,20.0,8.0,1020.4,1015.9,,,22.3,32.0,No
2016-07-03,Walpole,10.0,12.8,10.8,,,SSE,56.0,S,SSE,22.0,20.0,84.0,80.0,1024.8,1026.7,,,10.7,11.0,Yes
2015-06-17,Cairns,21.6,28.2,0.2,2.6,5.8,S,33.0,ESE,ENE,15.0,15.0,86.0,62.0,1016.1,1012.6,7.0,6.0,23.0,27.7,No
2010-08-24,CoffsHarbour,9.1,17.2,0.4,0.6,0.9,SW,31.0,SW,W,13.0,7.0,52.0,50.0,1013.4,1011.2,7.0,7.0,15.2,17.1,No
2016-02-06,Dartmoor,12.3,33.5,0.0,7.2,12.2,SSW,37.0,ENE,SW,7.0,20.0,78.0,27.0,1016.5,1013.8,,,17.6,32.6,No
2015-01-15,Cairns,26.4,32.6,5.4,7.0,7.7,WSW,28.0,WSW,N,13.0,15.0,80.0,76.0,1008.0,1004.6,8.0,5.0,29.1,31.1,Yes
2009-06-19,Cairns,21.4,26.5,0.0,3.2,3.5,SE,37.0,SSE,SE,19.0,26.0,72.0,56.0,1016.9,1013.6,7.0,3.0,22.5,25.3,No
2015-03-12,Nuriootpa,10.6,25.0,0.0,6.9,11.1,SE,44.0,SE,SE,9.0,17.0,74.0,36.0,1021.7,1019.5,1.0,5.0,16.4,23.5,No
2016-09-02,AliceSprings,9.0,17.0,1.2,5.2,,SSW,46.0,SW,S,24.0,15.0,71.0,60.0,1014.3,1013.1,8.0,8.0,13.5,16.8,Yes
2014-03-08,AliceSprings,21.1,31.1,1.0,11.8,1.8,N,28.0,WSW,N,15.0,7.0,54.0,40.0,1014.6,1011.5,7.0,7.0,24.1,28.5,No
2010-04-08,PerthAirport,12.8,25.7,0.0,5.6,10.4,SSW,37.0,SW,W,11.0,20.0,64.0,58.0,1018.4,1016.1,0.0,2.0,20.6,24.3,No
2014-05-06,Cairns,17.1,27.6,0.0,5.8,11.0,SE,37.0,SSE,ESE,13.0,26.0,56.0,50.0,1019.3,1015.0,1.0,1.0,23.6,26.4,No
2013-01-24,Dartmoor,11.0,35.6,0.0,6.0,10.1,N,41.0,ENE,NNW,7.0,13.0,71.0,14.0,1013.6,1007.4,,,17.4,34.2,No
2012-07-28,GoldCoast,12.0,20.5,0.0,,,W,41.0,WNW,WSW,20.0,9.0,46.0,31.0,1016.3,1014.7,,,15.5,19.3,No
2016-10-22,AliceSprings,11.8,21.6,3.1,,,E,44.0,ESE,ESE,28.0,20.0,50.0,25.0,1022.6,1019.5,8.0,1.0,14.3,19.7,Yes
2011-01-14,Cairns,23.8,32.2,48.6,6.4,7.7,E,35.0,SSE,W,7.0,22.0,71.0,85.0,1005.6,1003.2,4.0,7.0,29.8,26.8,Yes
2010-01-17,Cobar,21.2,29.0,0.0,13.0,12.0,SW,43.0,SSW,SSW,20.0,17.0,42.0,13.0,1008.5,1007.1,1.0,1.0,21.9,28.4,No
2010-03-10,Walpole,13.7,29.6,0.0,,,ENE,41.0,NE,NNE,19.0,7.0,66.0,43.0,1024.9,1021.1,,,19.8,28.7,No
2016-06-03,AliceSprings,13.5,17.3,4.0,2.4,,SSE,28.0,ESE,SSE,13.0,15.0,97.0,80.0,1019.8,1018.3,8.0,8.0,13.9,16.0,Yes
2016-12-07,GoldCoast,20.6,28.6,2.6,,,SSE,37.0,NW,NNE,17.0,13.0,99.0,90.0,1012.8,1011.0,,,24.2,23.3,Yes
2011-06-05,Cobar,8.1,16.6,0.0,2.2,,WNW,17.0,ESE,SSW,9.0,9.0,99.0,69.0,1019.4,1016.9,8.0,7.0,8.7,14.1,No
2016-01-17,PerthAirport,17.6,31.3,0.0,9.6,9.2,W,33.0,SW,W,9.0,20.0,43.0,43.0,1010.6,1006.8,5.0,7.0,28.0,29.8,No
2011-03-12,Nuriootpa,13.5,29.5,0.0,4.0,10.7,NNW,26.0,NE,N,9.0,6.0,76.0,43.0,1015.7,1014.0,5.0,6.0,20.1,27.8,No
2013-03-04,Cobar,16.9,30.4,0.8,6.0,,E,43.0,E,ENE,28.0,24.0,67.0,40.0,1015.6,1013.4,5.0,3.0,20.7,28.8,No
2015-01-31,Walpole,17.0,26.4,0.2,,,SE,48.0,E,ESE,19.0,26.0,64.0,56.0,1019.9,1017.4,,,21.9,25.0,No
2010-04-17,GoldCoast,18.9,27.3,0.4,,,SSE,48.0,S,SSE,30.0,31.0,65.0,59.0,1024.2,1021.8,,,24.5,25.9,No
2013-07-13,Uluru,10.5,28.4,0.0,,,WNW,46.0,,NW,0.0,24.0,80.0,33.0,1016.6,1014.5,,,15.5,27.7,No
2014-01-08,Walpole,13.6,24.8,0.0,,,SW,33.0,WNW,SW,13.0,15.0,70.0,62.0,1017.6,1016.1,,,21.3,22.6,No
2010-08-24,GoldCoast,14.5,21.6,6.8,,,WNW,41.0,WNW,WNW,13.0,19.0,61.0,41.0,1014.4,1010.9,,,18.5,19.7,Yes
2016-02-11,Uluru,23.0,40.5,0.0,,,S,46.0,SE,NE,19.0,13.0,12.0,8.0,1011.5,1007.7,,,31.6,38.4,No
2009-07-14,Cobar,4.6,14.7,0.0,1.4,,WNW,35.0,NW,WNW,9.0,19.0,75.0,46.0,1010.7,1007.9,5.0,6.0,8.6,13.2,No
2014-03-11,Cairns,24.6,28.0,0.0,7.0,0.3,SE,48.0,SSE,SSE,24.0,22.0,75.0,85.0,1010.9,1009.2,7.0,7.0,26.3,25.5,No
2012-07-23,Cairns,19.0,24.9,0.0,6.2,8.2,SSE,48.0,SSE,SE,24.0,28.0,73.0,59.0,1018.4,1014.7,7.0,4.0,20.3,22.9,No
2017-04-27,Dartmoor,5.6,15.1,2.2,,,WSW,22.0,N,WSW,4.0,7.0,98.0,77.0,1025.9,1024.3,,,9.5,14.4,Yes
2010-04-25,Nuriootpa,9.6,19.1,1.8,2.8,9.9,WSW,31.0,W,SW,9.0,15.0,83.0,55.0,1022.0,1022.0,3.0,5.0,13.8,17.5,Yes
2013-06-23,GoldCoast,11.0,21.5,0.0,,,S,43.0,S,SSE,15.0,30.0,64.0,58.0,1024.1,1021.2,,,17.1,20.2,No
2014-06-12,AliceSprings,8.0,22.8,0.0,3.6,9.7,SSW,31.0,WNW,S,6.0,19.0,47.0,26.0,1016.4,1013.5,4.0,5.0,14.1,22.1,No
2012-06-24,Dartmoor,6.5,14.8,2.0,1.2,6.1,NW,33.0,NW,WNW,11.0,19.0,100.0,81.0,1028.3,1027.9,,,9.7,14.4,Yes
2013-01-27,AliceSprings,17.6,34.4,0.0,15.6,12.9,SE,44.0,SE,SE,30.0,22.0,19.0,11.0,1011.1,1006.4,1.0,1.0,25.6,33.5,No
2009-10-27,Cairns,20.5,31.0,0.0,7.0,11.0,ENE,37.0,SSE,ENE,13.0,26.0,59.0,48.0,1014.6,1011.2,2.0,1.0,27.3,29.6,No
2011-12-25,Cairns,23.7,31.1,0.0,7.0,6.2,NNE,30.0,SE,N,4.0,17.0,67.0,69.0,1006.3,1004.8,3.0,7.0,29.6,29.2,No
2013-01-30,Cobar,16.0,33.7,0.0,15.0,,S,26.0,SE,WSW,13.0,11.0,23.0,8.0,1013.4,1011.0,0.0,0.0,22.1,31.2,No
2011-11-29,Walpole,9.6,17.7,5.2,,,SSW,43.0,S,SSE,22.0,17.0,54.0,58.0,1019.2,1021.0,,,14.7,14.9,Yes
2016-05-17,Cairns,22.0,29.0,3.4,6.0,,SE,43.0,S,SE,19.0,26.0,79.0,63.0,1016.2,1013.2,,,25.4,28.0,Yes
2009-04-12,CoffsHarbour,18.4,24.2,4.0,2.6,1.1,ENE,28.0,N,ENE,9.0,15.0,89.0,77.0,1023.9,1020.8,7.0,7.0,20.9,23.5,Yes
2013-06-21,Cairns,20.0,25.0,0.0,5.2,3.4,SSE,39.0,S,ESE,19.0,17.0,68.0,48.0,1018.3,1014.4,2.0,7.0,22.6,23.8,No
2010-06-11,Cairns,19.0,28.2,0.0,7.2,4.5,S,37.0,SSE,SE,17.0,20.0,65.0,62.0,1017.4,1014.9,6.0,7.0,24.4,26.5,No
2016-10-19,Cobar,7.7,21.5,0.0,6.6,,SW,35.0,SSE,WSW,15.0,20.0,,,1020.9,1019.1,,,13.2,20.6,No
2015-09-29,GoldCoast,14.1,25.9,1.6,,,N,56.0,NW,NNE,13.0,41.0,61.0,62.0,1021.4,1016.5,,,21.7,23.3,Yes
2011-12-22,Nuriootpa,14.8,32.1,0.0,9.8,13.4,SW,41.0,ENE,SSW,11.0,19.0,48.0,20.0,1015.2,1012.4,1.0,2.0,21.8,31.5,No
2011-10-10,Cobar,11.3,25.3,0.0,5.8,,W,37.0,ENE,WSW,6.0,17.0,49.0,24.0,1011.6,1008.8,1.0,4.0,17.3,24.5,No
2013-11-11,Walpole,13.2,24.2,0.0,,,WSW,35.0,NW,WSW,17.0,17.0,72.0,74.0,1013.9,1014.4,,,20.8,19.7,No
2011-07-31,CoffsHarbour,7.9,20.6,0.0,1.8,9.4,NE,28.0,NW,NE,11.0,17.0,60.0,50.0,1023.7,1020.4,1.0,3.0,16.7,19.0,No
2012-07-03,CoffsHarbour,3.0,17.0,0.0,2.0,9.5,SW,33.0,WSW,SSE,17.0,15.0,63.0,41.0,1019.8,1017.3,1.0,0.0,11.1,15.9,No
2009-03-02,AliceSprings,29.0,40.5,0.0,19.2,11.9,N,52.0,N,N,35.0,28.0,28.0,11.0,1009.4,1004.6,1.0,1.0,32.6,39.7,No
2012-01-09,AliceSprings,21.9,33.1,0.6,1.8,10.3,ESE,44.0,ESE,ESE,30.0,17.0,49.0,33.0,1012.3,1009.1,6.0,2.0,27.5,32.0,No
2013-11-07,Dartmoor,14.1,15.8,0.0,8.0,0.0,S,39.0,S,SSE,22.0,17.0,93.0,91.0,1012.7,1014.0,,,14.7,14.4,No
2010-08-30,Cairns,21.0,24.2,20.0,0.6,0.0,SSE,39.0,S,S,20.0,20.0,98.0,92.0,1017.2,1014.8,8.0,8.0,21.3,22.4,Yes
2011-06-14,CoffsHarbour,12.9,19.6,127.6,,3.5,SE,72.0,SE,SSE,43.0,11.0,80.0,72.0,1010.1,1009.1,8.0,6.0,17.8,19.0,Yes
2015-04-29,Uluru,7.1,21.8,0.0,,,E,41.0,E,ESE,24.0,19.0,42.0,23.0,1025.5,1020.5,,,13.0,20.3,No
2013-10-29,AliceSprings,15.4,30.9,0.0,15.6,12.4,SE,46.0,ESE,ESE,30.0,20.0,19.0,14.0,1019.3,1014.9,1.0,1.0,22.7,29.4,No
2010-04-28,AliceSprings,11.9,23.3,0.0,6.4,11.0,ESE,31.0,E,SE,19.0,17.0,60.0,34.0,1024.2,1021.1,1.0,1.0,18.0,22.8,No
2010-08-17,AliceSprings,8.1,26.0,0.0,7.2,7.9,N,57.0,ENE,N,13.0,41.0,39.0,21.0,1014.0,1008.8,7.0,4.0,14.8,25.5,No
2015-12-10,Nuriootpa,8.9,26.5,0.0,7.8,12.1,WSW,50.0,N,SW,9.0,26.0,66.0,30.0,1016.3,1013.5,4.0,2.0,17.4,25.7,No
2011-11-08,Dartmoor,13.8,27.6,6.2,6.6,7.4,NNE,33.0,NNW,S,9.0,6.0,99.0,70.0,1009.2,1007.7,,,18.3,25.2,Yes
2011-11-23,PerthAirport,16.2,35.9,0.0,11.0,13.2,NE,54.0,NNE,N,33.0,20.0,18.0,9.0,1016.0,1012.9,1.0,0.0,29.0,35.5,No
2011-06-04,AliceSprings,2.8,25.3,0.0,4.0,10.0,ESE,30.0,W,ESE,6.0,11.0,37.0,17.0,1019.6,1016.4,2.0,3.0,12.8,24.9,No
2012-01-01,CoffsHarbour,16.9,25.4,1.2,3.0,11.8,WSW,26.0,SW,ESE,15.0,17.0,56.0,56.0,1017.3,1015.9,6.0,1.0,22.1,24.1,Yes
2013-06-10,AliceSprings,8.3,24.6,0.0,2.8,10.1,E,28.0,,SE,0.0,13.0,77.0,40.0,1020.1,1016.2,0.0,1.0,15.0,24.0,No
2015-06-20,GoldCoast,10.2,21.1,0.0,,,SSE,48.0,S,SSE,20.0,30.0,67.0,53.0,1019.6,1018.3,,,16.5,19.6,No
2012-10-06,Dartmoor,6.8,14.2,6.2,15.6,5.4,SW,33.0,SSE,SSW,7.0,19.0,99.0,71.0,1019.3,1018.9,,,8.8,14.1,Yes
2013-08-16,PerthAirport,5.4,16.9,16.0,3.4,7.1,WSW,52.0,WSW,W,19.0,19.0,63.0,77.0,1018.7,1017.4,6.0,5.0,14.0,13.6,Yes
2010-04-30,Dartmoor,11.0,15.6,0.2,1.0,0.3,N,22.0,NNW,NNW,7.0,11.0,96.0,80.0,1028.8,1026.5,,,12.8,14.6,No
2016-10-27,PerthAirport,6.3,22.6,0.0,4.0,11.8,SW,43.0,SSW,WSW,17.0,35.0,49.0,41.0,1021.0,1017.9,3.0,1.0,18.7,21.7,No
2017-03-03,CoffsHarbour,18.0,27.0,0.1,,,SW,28.0,SW,SE,17.0,20.0,77.0,72.0,1014.3,1012.8,,,24.2,26.5,No
2011-11-10,PerthAirport,9.1,23.3,0.0,4.6,10.4,WSW,33.0,WNW,WSW,9.0,20.0,51.0,44.0,1019.2,1017.0,7.0,6.0,19.5,22.2,No
2010-12-13,CoffsHarbour,19.4,26.4,0.0,5.0,9.3,WSW,50.0,S,S,15.0,19.0,81.0,73.0,1011.4,1011.5,6.0,6.0,23.5,24.8,No
2011-10-13,Cobar,12.7,25.8,0.0,6.6,,E,28.0,E,WNW,13.0,6.0,39.0,18.0,1017.7,1014.8,5.0,3.0,18.2,25.2,No
2013-06-02,Cobar,12.5,15.6,14.2,0.4,,SSW,46.0,WSW,SW,19.0,26.0,92.0,58.0,1014.4,1015.8,8.0,2.0,12.8,15.0,Yes
2011-09-13,Walpole,10.7,15.7,4.8,,,SSW,26.0,WSW,SSE,11.0,13.0,75.0,71.0,1022.7,1021.6,,,13.7,13.7,Yes
2016-08-22,PerthAirport,4.5,16.5,2.8,2.2,9.6,SSW,46.0,S,SSW,9.0,30.0,90.0,36.0,1022.3,1020.8,1.0,3.0,8.6,16.1,Yes
2016-10-07,AliceSprings,11.1,34.0,0.0,,,ESE,35.0,NNE,E,15.0,20.0,19.0,6.0,1019.4,1015.3,,,26.3,32.8,No
2013-12-24,Nuriootpa,8.6,27.1,0.0,5.2,13.6,NE,31.0,ENE,ENE,17.0,15.0,56.0,14.0,1019.8,1016.2,2.0,3.0,15.0,25.5,No
2014-08-03,Walpole,6.1,17.5,0.0,,,WNW,22.0,,SE,0.0,9.0,95.0,65.0,1033.2,1031.0,,,10.7,15.9,No
2009-01-03,PerthAirport,20.3,34.4,0.0,11.8,12.7,SSW,44.0,S,W,17.0,24.0,57.0,34.0,1012.8,1010.7,4.0,1.0,23.5,33.0,No
2012-09-02,CoffsHarbour,5.1,19.1,0.0,6.2,10.5,WSW,37.0,SW,SE,26.0,15.0,44.0,42.0,1023.7,1020.8,1.0,1.0,16.2,18.1,No
2014-04-04,PerthAirport,11.2,30.2,0.0,6.6,6.2,ENE,39.0,ENE,NNW,20.0,13.0,34.0,20.0,1017.7,1013.7,7.0,7.0,20.5,28.8,No
2013-08-05,Uluru,1.9,25.2,0.0,,,NW,33.0,S,WNW,9.0,20.0,49.0,15.0,1023.1,1018.3,,,10.9,24.0,No
2016-06-28,GoldCoast,9.2,20.8,0.0,,,WNW,41.0,WNW,S,26.0,22.0,48.0,35.0,1019.9,1019.3,,,12.9,20.2,No
2014-03-12,PerthAirport,19.9,37.7,0.0,10.8,9.8,E,59.0,ENE,SSW,26.0,13.0,39.0,20.0,1017.7,1013.1,7.0,7.0,26.5,36.9,No
2012-04-27,PerthAirport,19.4,29.7,0.0,6.4,2.1,E,35.0,ENE,ENE,22.0,15.0,25.0,17.0,1019.3,1015.7,8.0,8.0,23.3,29.3,No
2010-08-09,Cobar,4.5,19.8,0.0,2.6,,N,59.0,E,ENE,15.0,22.0,53.0,37.0,1017.9,1011.9,0.0,6.0,10.8,18.7,No
2014-01-04,Uluru,21.5,35.9,0.0,,,SE,37.0,SE,E,22.0,13.0,31.0,15.0,1013.3,1008.2,,,26.3,33.8,No
2010-05-29,PerthAirport,8.5,21.1,0.0,0.8,9.0,N,31.0,NE,N,11.0,15.0,76.0,38.0,1024.2,1020.7,3.0,1.0,13.3,20.7,No
2009-01-26,Dartmoor,,,,5.2,13.4,,,,,,,,,,,,,,,
2011-01-09,Walpole,13.8,27.0,0.0,,,SE,44.0,NE,SE,17.0,26.0,65.0,65.0,1016.4,1014.6,,,21.2,23.5,No
2015-03-18,Walpole,16.5,21.3,8.2,,,WNW,52.0,W,W,19.0,28.0,82.0,67.0,1004.1,1004.8,,,17.3,20.1,Yes
2011-11-13,Nuriootpa,16.6,32.9,0.0,6.8,8.4,WNW,56.0,NE,NW,13.0,26.0,31.0,18.0,1010.8,1005.8,7.0,6.0,22.5,31.8,No
2013-12-27,GoldCoast,22.4,28.8,0.0,,,SSE,37.0,SSE,SSE,24.0,20.0,86.0,77.0,1010.8,1008.4,,,24.5,24.8,No
2014-05-02,GoldCoast,18.2,22.6,5.6,,,,,WNW,N,9.0,19.0,97.0,80.0,1010.2,1003.8,,,20.1,22.2,Yes
2015-01-16,Nuriootpa,8.6,25.6,0.0,6.0,13.3,WSW,48.0,WSW,WSW,15.0,30.0,73.0,34.0,1012.0,1010.5,3.0,1.0,17.4,24.7,No
2014-06-13,GoldCoast,15.8,19.9,4.4,,,ENE,30.0,W,NNW,7.0,6.0,95.0,94.0,1020.0,1016.9,,,17.8,18.2,Yes
2014-06-07,Nuriootpa,2.6,16.5,0.0,2.4,6.0,SE,30.0,NE,ESE,6.0,11.0,99.0,61.0,1035.0,1032.5,7.0,4.0,6.9,16.1,No
2015-02-24,Cobar,24.6,37.9,0.0,11.2,,S,48.0,E,SSE,20.0,9.0,47.0,23.0,1011.2,1009.2,0.0,3.0,27.4,36.5,No
2014-07-15,GoldCoast,13.5,20.4,0.0,,,SSE,39.0,SSW,SSE,11.0,17.0,71.0,65.0,1025.6,1021.4,,,16.8,20.0,No
2017-05-22,AliceSprings,9.3,31.9,0.0,,,NW,39.0,NNW,WNW,13.0,19.0,22.0,13.0,1018.1,1014.6,,,22.0,31.5,No
2013-10-17,Nuriootpa,7.2,16.2,3.8,12.2,11.2,WSW,59.0,SW,SW,31.0,28.0,83.0,42.0,1016.1,1019.1,7.0,3.0,8.6,14.0,Yes
2011-08-03,Nuriootpa,5.9,24.6,0.0,2.6,9.4,N,48.0,NE,NNW,9.0,26.0,63.0,24.0,1015.2,1012.1,2.0,6.0,15.6,23.9,No
2009-12-26,CoffsHarbour,24.2,27.4,0.0,8.8,2.0,NE,43.0,NE,NNE,22.0,24.0,73.0,83.0,1013.8,1012.4,7.0,8.0,26.2,25.6,No
2015-08-20,AliceSprings,10.3,28.9,0.0,4.8,9.4,NW,33.0,N,N,17.0,13.0,19.0,9.0,1019.8,1014.4,7.0,5.0,19.8,28.0,No
2015-03-19,CoffsHarbour,20.0,29.6,0.0,,,N,28.0,,SE,0.0,15.0,65.0,67.0,1009.7,1010.5,,,27.6,27.8,No
2010-12-07,Walpole,13.4,20.3,4.0,,,SW,37.0,WSW,SW,17.0,20.0,84.0,62.0,1005.6,1006.8,,,15.5,19.8,Yes
